"id","disease","topic","question","answer"
"1","Diabetes (Kencing Manis)","Gejala","Apa saja gejala awal dari penyakit diabetes?","Diabetes ditandai dengan rasa lelah berlebihan, sering buang air kecil terutama di malam hari, cepat haus, penglihatan kabur, luka yang sulit sembuh, kesemutan di tangan dan kaki, serta kadar gula darah yang tidak stabil."
"2","Diabetes (Kencing Manis)","Gejala","Bagaimana tanda-tanda kalau seseorang terkena kencing manis?","Diabetes ditandai dengan rasa lelah berlebihan, sering buang air kecil terutama di malam hari, cepat haus, penglihatan kabur, luka yang sulit sembuh, kesemutan di tangan dan kaki, serta kadar gula darah yang tidak stabil."
"3","Diabetes (Kencing Manis)","Gejala","Ciri-ciri orang yang kena diabetes itu seperti apa ya?","Diabetes ditandai dengan rasa lelah berlebihan, sering buang air kecil terutama di malam hari, cepat haus, penglihatan kabur, luka yang sulit sembuh, kesemutan di tangan dan kaki, serta kadar gula darah yang tidak stabil."
"4","Diabetes (Kencing Manis)","Gejala","Apa yang dirasakan tubuh ketika mulai kena diabetes?","Diabetes ditandai dengan rasa lelah berlebihan, sering buang air kecil terutama di malam hari, cepat haus, penglihatan kabur, luka yang sulit sembuh, kesemutan di tangan dan kaki, serta kadar gula darah yang tidak stabil."
"5","Diabetes (Kencing Manis)","Pencegahan","Bagaimana cara mencegah agar tidak terkena diabetes?","Pencegahan diabetes dapat dilakukan dengan menjaga berat badan ideal, mengurangi konsumsi gula dan karbohidrat olahan, rutin berolahraga minimal 30 menit per hari, melakukan pemeriksaan gula darah secara berkala, serta menghindari kebiasaan merokok dan konsumsi alkohol."
"6","Diabetes (Kencing Manis)","Pencegahan","Apa yang bisa dilakukan supaya terhindar dari penyakit kencing manis?","Pencegahan diabetes dapat dilakukan dengan menjaga berat badan ideal, mengurangi konsumsi gula dan karbohidrat olahan, rutin berolahraga minimal 30 menit per hari, melakukan pemeriksaan gula darah secara berkala, serta menghindari kebiasaan merokok dan konsumsi alkohol."
"7","Diabetes (Kencing Manis)","Pencegahan","Langkah-langkah apa saja untuk mencegah diabetes sejak dini?","Pencegahan diabetes dapat dilakukan dengan menjaga berat badan ideal, mengurangi konsumsi gula dan karbohidrat olahan, rutin berolahraga minimal 30 menit per hari, melakukan pemeriksaan gula darah secara berkala, serta menghindari kebiasaan merokok dan konsumsi alkohol."
"8","Diabetes (Kencing Manis)","Pencegahan","Gimana cara hidup sehat agar tidak kena diabetes?","Pencegahan diabetes dapat dilakukan dengan menjaga berat badan ideal, mengurangi konsumsi gula dan karbohidrat olahan, rutin berolahraga minimal 30 menit per hari, melakukan pemeriksaan gula darah secara berkala, serta menghindari kebiasaan merokok dan konsumsi alkohol."
"9","Diabetes (Kencing Manis)","Pengobatan","Apa saja pilihan pengobatan untuk penderita diabetes?","Pengobatan diabetes meliputi pengaturan pola makan (diet rendah gula dan karbohidrat), olahraga teratur, konsumsi obat antidiabetes oral seperti metformin, dan pada kasus tertentu diperlukan suntikan insulin. Pemantauan kadar gula darah secara rutin sangat penting untuk keberhasilan pengobatan."
"10","Diabetes (Kencing Manis)","Pengobatan","Bagaimana cara mengobati penyakit kencing manis?","Pengobatan diabetes meliputi pengaturan pola makan (diet rendah gula dan karbohidrat), olahraga teratur, konsumsi obat antidiabetes oral seperti metformin, dan pada kasus tertentu diperlukan suntikan insulin. Pemantauan kadar gula darah secara rutin sangat penting untuk keberhasilan pengobatan."
"11","Diabetes (Kencing Manis)","Pengobatan","Obat apa yang biasa diberikan dokter untuk diabetes?","Pengobatan diabetes meliputi pengaturan pola makan (diet rendah gula dan karbohidrat), olahraga teratur, konsumsi obat antidiabetes oral seperti metformin, dan pada kasus tertentu diperlukan suntikan insulin. Pemantauan kadar gula darah secara rutin sangat penting untuk keberhasilan pengobatan."
"12","Diabetes (Kencing Manis)","Pengobatan","Apa yang harus dilakukan jika sudah didiagnosis diabetes?","Pengobatan diabetes meliputi pengaturan pola makan (diet rendah gula dan karbohidrat), olahraga teratur, konsumsi obat antidiabetes oral seperti metformin, dan pada kasus tertentu diperlukan suntikan insulin. Pemantauan kadar gula darah secara rutin sangat penting untuk keberhasilan pengobatan."
"13","Hipertensi (Tekanan Darah Tinggi)","Gejala","Apa saja gejala dari tekanan darah tinggi atau hipertensi?","Hipertensi sering disebut 'silent killer' karena banyak kasus tanpa gejala. Namun gejala yang mungkin muncul antara lain sakit kepala di bagian belakang kepala, mimisan, pusing, sesak napas, detak jantung tidak teratur, dan penglihatan kabur. Tekanan darah di atas 140/90 mmHg dikategorikan sebagai hipertensi."
"14","Hipertensi (Tekanan Darah Tinggi)","Gejala","Bagaimana cara tahu kalau seseorang punya darah tinggi?","Hipertensi sering disebut 'silent killer' karena banyak kasus tanpa gejala. Namun gejala yang mungkin muncul antara lain sakit kepala di bagian belakang kepala, mimisan, pusing, sesak napas, detak jantung tidak teratur, dan penglihatan kabur. Tekanan darah di atas 140/90 mmHg dikategorikan sebagai hipertensi."
"15","Hipertensi (Tekanan Darah Tinggi)","Gejala","Apa yang dirasakan ketika tekanan darah sedang naik?","Hipertensi sering disebut 'silent killer' karena banyak kasus tanpa gejala. Namun gejala yang mungkin muncul antara lain sakit kepala di bagian belakang kepala, mimisan, pusing, sesak napas, detak jantung tidak teratur, dan penglihatan kabur. Tekanan darah di atas 140/90 mmHg dikategorikan sebagai hipertensi."
"16","Hipertensi (Tekanan Darah Tinggi)","Gejala","Ciri-ciri orang yang kena hipertensi itu apa saja?","Hipertensi sering disebut 'silent killer' karena banyak kasus tanpa gejala. Namun gejala yang mungkin muncul antara lain sakit kepala di bagian belakang kepala, mimisan, pusing, sesak napas, detak jantung tidak teratur, dan penglihatan kabur. Tekanan darah di atas 140/90 mmHg dikategorikan sebagai hipertensi."
"17","Hipertensi (Tekanan Darah Tinggi)","Pencegahan","Bagaimana cara mencegah tekanan darah tinggi?","Pencegahan hipertensi dapat dilakukan dengan membatasi konsumsi garam (kurang dari 5 gram per hari), rutin berolahraga, menjaga berat badan ideal, mengurangi stres, tidak merokok, membatasi konsumsi alkohol, serta memperbanyak konsumsi buah dan sayuran."
"18","Hipertensi (Tekanan Darah Tinggi)","Pencegahan","Apa yang bisa dilakukan agar tidak kena hipertensi?","Pencegahan hipertensi dapat dilakukan dengan membatasi konsumsi garam (kurang dari 5 gram per hari), rutin berolahraga, menjaga berat badan ideal, mengurangi stres, tidak merokok, membatasi konsumsi alkohol, serta memperbanyak konsumsi buah dan sayuran."
"19","Hipertensi (Tekanan Darah Tinggi)","Pencegahan","Tips hidup sehat untuk menghindari darah tinggi itu apa?","Pencegahan hipertensi dapat dilakukan dengan membatasi konsumsi garam (kurang dari 5 gram per hari), rutin berolahraga, menjaga berat badan ideal, mengurangi stres, tidak merokok, membatasi konsumsi alkohol, serta memperbanyak konsumsi buah dan sayuran."
"20","Hipertensi (Tekanan Darah Tinggi)","Pencegahan","Cara alami mencegah hipertensi itu gimana?","Pencegahan hipertensi dapat dilakukan dengan membatasi konsumsi garam (kurang dari 5 gram per hari), rutin berolahraga, menjaga berat badan ideal, mengurangi stres, tidak merokok, membatasi konsumsi alkohol, serta memperbanyak konsumsi buah dan sayuran."
"21","Hipertensi (Tekanan Darah Tinggi)","Pengobatan","Bagaimana cara mengobati hipertensi atau tekanan darah tinggi?","Pengobatan hipertensi mencakup perubahan gaya hidup (diet DASH, olahraga, pengurangan garam) dan obat-obatan antihipertensi seperti ACE inhibitor, beta blocker, calcium channel blocker, atau diuretik sesuai resep dokter. Pengobatan biasanya berlangsung seumur hidup dan tekanan darah harus dipantau secara rutin."
"22","Hipertensi (Tekanan Darah Tinggi)","Pengobatan","Obat apa yang digunakan untuk mengatasi darah tinggi?","Pengobatan hipertensi mencakup perubahan gaya hidup (diet DASH, olahraga, pengurangan garam) dan obat-obatan antihipertensi seperti ACE inhibitor, beta blocker, calcium channel blocker, atau diuretik sesuai resep dokter. Pengobatan biasanya berlangsung seumur hidup dan tekanan darah harus dipantau secara rutin."
"23","Hipertensi (Tekanan Darah Tinggi)","Pengobatan","Apa yang harus dilakukan jika tekanan darah selalu tinggi?","Pengobatan hipertensi mencakup perubahan gaya hidup (diet DASH, olahraga, pengurangan garam) dan obat-obatan antihipertensi seperti ACE inhibitor, beta blocker, calcium channel blocker, atau diuretik sesuai resep dokter. Pengobatan biasanya berlangsung seumur hidup dan tekanan darah harus dipantau secara rutin."
"24","Hipertensi (Tekanan Darah Tinggi)","Pengobatan","Pengobatan hipertensi itu seperti apa ya?","Pengobatan hipertensi mencakup perubahan gaya hidup (diet DASH, olahraga, pengurangan garam) dan obat-obatan antihipertensi seperti ACE inhibitor, beta blocker, calcium channel blocker, atau diuretik sesuai resep dokter. Pengobatan biasanya berlangsung seumur hidup dan tekanan darah harus dipantau secara rutin."
"25","Asma Bronkial","Gejala","Apa saja gejala dari penyakit asma bronkial?","Gejala asma bronkial meliputi sesak napas, napas berbunyi atau mengi (wheezing), batuk terutama malam dan pagi hari, rasa dada terasa berat atau sesak, dan napas pendek saat beraktivitas. Gejala dapat memburuk saat terkena pemicu seperti debu, asap rokok, udara dingin, atau olahraga berat."
